building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,location_quality_grade,premise_quality_grade,listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,previous_tenant,notes
356 West Street ,#1 Auto Tech Group,Occupied,Unavailable,Automotive,,Local Chain / Independant,$,North American,,,1 - Low End,,2,Tertiary,,34,,0,2825,0,0,,1,15,2825,188,Standard,,West Village,3,2825,10014,981449,205229,,1,Manhattan,1-601-1,601,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-601-1-1,,40.738088,-74.005095,,
327 West 11 Street A,11th Street Cafe ,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,16,Street Frontage,0,512,0,0,,1,15,512,34,Standard,Yes,West Village,7,512,10014,982174,207362,Existing,1,Manhattan,1-634-36,634,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-634-36-1,,40.735712,-74.007562,,
245 Bleecker Street,16 Handles,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",National Presence,$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,No,100,Street Frontage,0,1447,0,0,Step up,1,18,1447,80,Standard,Yes,West Village,1,1447,10014,983546,205573,Existing,1,Manhattan,1-589-5,589,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-589-5-1,,40.730884,-74.002685,,
319 6 Avenue,2 Bros Pizza,Occupied,Unavailable,Restaurant & Bar,Fast Food,Regional Presence,$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1344,0,0,Step up,1,15,1344,89,Standard,Yes,West Village,1,1344,10014,983752,205640,Existing,1,Manhattan,1-589-34,589,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-589-34-1,,40.727069,-73.987467,,
259 Bleecker Street,259 Unique Gifts & Souvenirs,Occupied,Unavailable,Gifts and Memorabilia,"Gift Shop, Memorabilia and Souvenirs",Local Chain / Independant,$,North American,,,3 - High Quality,2 - Average,5,Average,No,25,Street Frontage,0,670,0,0,,1,15,670,44,Standard,Yes,West Village,4,670,10014,983465,205733,Existing,1,Manhattan,1-590-2,590,2,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-590-2-1,,40.731337,-74.002946,,
300 Bleecker Street,3NY,Occupied,Unavailable,Apparel,,National Presence,$$$,North American,,,3 - High Quality,2 - Average,5,Average,No,50,Street Frontage,0,400,0,0,,1,15,400,26,Standard,Yes,West Village,2,400,10014,983155,206121,Existing,1,Manhattan,1-588-26,588,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-26-1,,40.732497,-74.003853,,
45 Grove Street A,45 Grove Street Laundromat,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,50,Street Frontage,0,1036,0,0,Step down,1,15,1036,69,Standard,Yes,West Village,2,1036,10014,983051,206329,Existing,1,Manhattan,1-588-67,588,67,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-588-67-1,,40.732927,-74.004284,,
5 9th Avenue ,5 9th ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,1100,0,0,,1,,1100,,Standard,Yes,West Village,2,1100,10014,982381,208709,Existing,1,Manhattan,1-644-56,644,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-644-56-1,,40.739553,-74.006609,,
206 Varick Street D,607 Varick Street Corp.,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,15,Street Frontage,0,571,0,0,,1,30,571,19,Standard,Yes,West Village,5,571,10014,982848,204783,Existing,1,Manhattan,1-528-21,528,21,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-528-21-4,,40.728757,-74.00509,,
347 Bleecker ,7 For All Mankind ,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,Yes,100,Street Frontage,0,700,0,0,,1,40,700,17,Standard,Yes,West Village,1,700,10014,983044,206671,Existing,1,Manhattan,1-619-55,619,55,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-55-1,,40.733924,-74.0044,,
