building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active
298 Mulberry Street,CVS Pharmacy ,Occupied,Unavailable,Health and Personal Care,Pharmacy,National Chain,$$,North American,,,2 - Average,3 - High Quality,5,Good,Yes,90 ,Street Frontage,0,11700,0,0,Step down,1,300,11700,39,Standard,Yes,East Village,2,13000,10012,985797,203451,Existing,1,Manhattan,1-521-1,521,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
298 Mulberry Street,MakerBot,Occupied,Unavailable,Electronics,"Computer, Cellular & Other Hardware","Independent local, Local Chain",$$$$,North American,,,2 - Average,3 - High Quality,5,Good,No,10 ,Street Frontage,0,1300,0,0,None,1,30,1300,43.3333333333333,Standard,Yes,East Village,2,13000,10012,985797,203451,Existing,1,Manhattan,1-521-1,521,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
301 Elizabeth Street,Soho Cleaners,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,75 ,Street Frontage,0,795,0,0,None,1,30,795,26.5,Standard,Yes,East Village,2,1060,10012,986013,203353,Existing,1,Manhattan,1-521-45,521,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
301 Elizabeth Street,Soho Grocery,Occupied,Unavailable,Grocery,"Deli, Convenience Store","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,265,0,0,None,1,12,265,22.0833333333333,Standard,Yes,East Village,2,1060,10012,986013,203353,Existing,1,Manhattan,1-521-45,521,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
296 Elizabeth Street,Black Scale,Occupied,Available,Apparel,Clothing,"Independent local, Local Chain",$$$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,839.5,0,0,None,1,15,839.5,55.9666666666667,Standard,Yes,East Village,2,1679,10012,986177,203370,Existing,1,Manhattan,1-521-67,521,67,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
296 Elizabeth Street,Indique Hair,Occupied,Unavailable,Personal Services,"Hair Studio, Barber","Independent local, Local Chain",$$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,839.5,0,0,0,Step down,1,15,839.5,55.9666666666667,Standard,Yes,East Village,2,1679,10012,986177,203370,Existing,1,Manhattan,1-521-67,521,67,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
310 Bowery,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1069,0,0,Step up,1,21,1069,50.9047619047619,Standard,Yes,East Village,3,2138,10012,986266,203398,Existing,1,Manhattan,1-521-77,521,77,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
308 Bowery ,Bowery Poetry Club & Cafe,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,534.5,0,0,None,1,15,534.5,35.6333333333333,Standard,Yes,East Village,3,2138,10012,986266,203398,Existing,1,Manhattan,1-521-77,521,77,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
308 Bowery,Duane Park,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,534.5,0,0,None,1,9,534.5,59.3888888888889,Standard,Yes,East Village,3,2138,10012,986266,203398,Existing,1,Manhattan,1-521-77,521,77,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
323 Lafayette ,Bank of America,Occupied,Unavailable,Bank,Bank,National Chain,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,70 ,Street Frontage,0,1300,0,0,None,1,40,1300,32.5,Standard,Yes,East Village,2,1850,10012,985658,203521,Existing,1,Manhattan,1-522-41,522,41,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
