borough,block,lot,bbl,market,submarket,address,percent_of_total_retail,premise_type,basement_sf,ground_floor_sf,mezzanine_sf,upper_floor_sf,shopping_center,step_up_or_down,stories_of_retail,street_frontage,ceiling,corner_store,fotal_sf,location_grade,quality_grade,premise_grade,tenant,occupancy,retail_type,retail_subtype,retailer_size,retailer_price_point,retailer_nationality,additonal_retailer_info,comp,zip_code,xcoordinate,ycoordinate
1,208,13,1-208-13,Manhattan,SoHo,3 Howard Street,100,Street Frontage,0,2328,0,2328,,,1,15,,,4656,B,C,Average,Vacant,Vacant & Available,,,,,,,,10013,984350,201180
1,208,19,1-208-19,Manhattan,SoHo,241 Canal Street,15,Street Frontage,0,1860,0,0,yes,up,1,60,yes,1,1860,B,B,Average,Starbucks,Occupied & Unavailable,Restaurant & Bar,Cafe,International Chain,Upscale,North American,none,TRUE,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,187 Centre Street,7,Street Frontage,0,868,0,0,,,1,18,,,868,B,B,Average,KSS Beauty Spa,Occupied & Unavailable,Personal Services,Spa,"Independent local, Local Chain",Mainstream,Asian,,,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,191 Centre Street,7,Street Frontage,0,868,0,0,,,1,15,,,868,B,B,Average,Fay Da Bakery,Occupied & Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food","Independent local, Local Chain",Mainstream,Asian,,,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,199 Centre Street,30,Street Frontage,0,3720,0,0,,,1,120,,1,3720,B,C,Average,5 Combinations,Occupied & Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",Low End,Asian,,,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,189 Centre Street,7,Street Frontage,0,434,0,434,,,1,15,,,868,B,B,Average,Toto Group Beauty Spa,Occupied & Unavailable,Personal Services,Spa,"Independent local, Local Chain",Low End,Asian,,,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,185 Centre Street,7,Street Frontage,0,868,0,0,,Step up,1,18,,,868,B,C,Average,New Centre Jewelry Inc.,Occupied & Unavailable,Accessories,Jewelry,"Independent local, Local Chain",Low End,Asian,,,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,195 Centre Street,7,Street Frontage,0,434,0,434,,,1,15,,,868,B,B,Average,Kent Senior Care Inc.,Occupied & Unavailable,Other Services,Other Services,"Independent local, Local Chain",Low End,Asian,Senior,,10013,984326,201087
1,208,19,1-208-19,Manhattan,SoHo,183 Centre Street,20,Street Frontage,0,2480,0,0,,,1,50,,,2480,B,B,Average,East Bank,Occupied & Unavailable,Bank,Bank,"Independent local, Local Chain",Mainstream,North American,,,10013,984326,201087
1,208,20,1-208-20,Manhattan,SoHo,243 Canal Street,100,Street Frontage,0,3616,0,0,,,1,24,,,3616,B,B,Average,Canal Lucky Jewelry Center,Occupied & Unavailable,Accessories,Jewelry,"Independent local, Local Chain",Mainstream,Asian,,,10013,984250,201019
1,208,21,1-208-21,Manhattan,SoHo,245 Canal Street,100,Street Frontage,0,3500,0,0,,,1,20,,,3500,B,C,Average,Vacant,Vacant & Available,,,,,,,,10013,984224,201042
1,208,4,1-208-4,Manhattan,SoHo,123 Lafayette Street,40,Street Frontage,0,1200,0,0,,,1,18,,,1200,B,C,Average,Vacant,Vacant & Available,,,,,,,,10013,984255,201125
1,208,4,1-208-4,Manhattan,SoHo,125 Lafayette Street,20,Street Frontage,0,600,0,0,,,1,15,,,600,B,B,Average,Dunkin Donuts,Occupied & Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",International Chain,Mainstream,North American,,,10013,984255,201125
1,208,4,1-208-4,Manhattan,SoHo,127A Lafayette Street,20,Street Frontage,0,600,0,0,,,1,12,,,600,B,C,Average,Love Hate Social Club,Occupied & Unavailable,Other Services,Other Services,"Independent local, Local Chain",Upscale,,,,10013,984255,201125
1,208,4,1-208-4,Manhattan,SoHo,127B Lafayette Street,20,Street Frontage,0,600,0,0,,,1,15,,,600,B,B,Average,First Custom Corp.,Occupied & Unavailable,Other Services,Other Services,"Independent local, Local Chain",Mainstream,Asian,,,10013,984255,201125
1,208,7501,1-208-7501,Manhattan,SoHo,129 Lafayette Street,100,Street Frontage,0,4102,0,0,,,1,90,,,4102,B,B,Average,Cathay Bank,Occupied & Unavailable,Bank,Bank,National Chain,Mainstream,North American,,,10013,984308,201196
1,209,1,1-209-1,Manhattan,SoHo,277 Canal Street,15,Street Frontage,0,5000,0,0,,,1,25,,1,5000,B,A,Average,Bank Of America,Occupied & Unavailable,Bank,Bank,National Chain,Upscale,North American,Blank,1,10013,983859,201361
