building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
356 West Street ,#1 Auto Tech Group,Occupied,Unavailable,Automotive,Automotive Service,Local Chain / Independant,$,North American,,,1 - Low End,1- Low End,2,Tertiary,No,34 ,Street Frontage,0,2825.4,0,0,,1,15,2825.4,188.36,Standard,Yes,West Village,3,2825.4,10014,981449,205229,Existing,1,Manhattan,1-601-1,601,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,1,1,,,,,,,,,,,,,1,1-601-1-1,,,,,,
75 Clarkson Street,Mystique,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,1 - Low End,1- Low End,2,Tertiary,Yes,33 ,Street Frontage,0,2742.3,0,0,,1,15,2742.3,182.82,Standard,Yes,West Village,3,2742.3,10014,981449,205229,Existing,1,Manhattan,1-601-1,601,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,1,1,,,,,,,,,,,,,2,1-601-1-2,,,,,,
169 West 10 Street,Bala,Occupied,Unavailable,Apparel,,Local Chain / Independant,$,African,,,1 - Low End,1- Low End,2,Tertiary,No,100 ,Street Frontage,0,50,0,0,,1,16,50,3.125,Standard,Yes,West Village,1,50,10014,983661,206858,Existing,1,Manhattan,1-611-35,611,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,1,1,,,,,,,,,,,,,1,1-611-35-1,,,,,,
17 Bleecker Street  ,Q Hair,Occupied,Unavailable,Personal Services,"Hair Studio, Barber","Independent local, Local Chain",$$,North American,,,1 - Low End,1- Low End,2,Teriary,No,100 ,Street Frontage,,2500,,,None,1,30,2500,83,Standard,Yes,East Village,1,,10012,986152,203650,Existing,1,Manhattan,1-529-50,529,50,,,,,5502,,,,,,,,,,,,,,TRUE,17,Bleecker Street  ,,New York,New York,10012,1,1,,,,,,212-614-8729,,,,,,,3,1-529-50-3,Bleecker Street,40.725577,-73.993172,,,
178 West Houston ,Peaceful Garden,Occupied,Unavailable,Personal Services,Spa,Local Chain / Independant,0,North American,,,2 - Average,1- Low End,3,Average,No,100,Street Frontage,900,0,0,0,,1,,900,0,Standard,Yes,West Village,1,900,10014,983438,204783,Existing,1,Manhattan,1-527-49,527,49,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,1,,,,,,,,,,,,,1,1-527-49-1,,,,,,
178 West Houston A,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,1- Low End,3,Average,No,50,Street Frontage,0,412,0,0,,1,10,412,41,Standard,Yes,West Village,2,825,10014,983397,204815,Existing,1,Manhattan,1-527-51,527,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,1,,,,,,,,,,,,,2,1-527-51-2,,,,,,
25 Downing Street,Village Chiropractic Center,Occupied,Unavailable,Medical Services,Medical Services,Local Chain / Independant,0,North American,,,2 - Average,1- Low End,3,Average,No,100,Street Frontage,750,0,0,0,Step down,1,,750,0,Standard,Yes,West Village,1,750,10014,983336,205097,Existing,1,Manhattan,1-527-90,527,90,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,1,,,,,,,,,,,,,1,1-527-90-1,,,,,,
226 Varick Street,Phil's Pizza,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$,European,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,325,0,0,,1,10,325,32.5,Standard,Yes,West Village,1,325,10014,982861,204926,Existing,1,Manhattan,1-528-56,528,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-528-56-1,,,,,,
20 7 Avenue South,Little Branch,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,561,0,0,,1,,561,,Standard,Yes,West Village,1,561,10014,982857,205276,Existing,1,Manhattan,1-582-22,582,22,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-582-22-1,,,,,,
55 Leroy Street A,Brown Bag Cleaner,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,Organic,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,500,0,0,Step down,1,,500,,Standard,Yes,West Village,2,500,10014,982810,205349,Existing,1,Manhattan,1-583-42,583,42,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-583-42-1,,,,,,
